case,model,step,n_fixed,n_fixed_wallband,n_fixed_outer,n_moved,Eddy_Viscosity_band_scale,Eddy_Viscosity_band_rms_rel,Eddy_Viscosity_band_max_rel,Eddy_Viscosity_outer_scale,Eddy_Viscosity_outer_rms_rel,Eddy_Viscosity_outer_max_rel,Turb_Kin_Energy_band_scale,Turb_Kin_Energy_band_rms_rel,Turb_Kin_Energy_band_max_rel,Turb_Kin_Energy_outer_scale,Turb_Kin_Energy_outer_rms_rel,Turb_Kin_Energy_outer_max_rel,Omega_band_scale,Omega_band_rms_rel,Omega_band_max_rel,Omega_outer_scale,Omega_outer_rms_rel,Omega_outer_max_rel
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,80,10669,8590,2079,12602,7.8971e-06,2.643e-03,4.804e-02,1.7460e-06,2.356e-04,5.656e-03,2.0585e-04,1.003e-03,1.345e-02,1.3563e-06,6.411e-06,1.484e-04,5.4367e+05,4.301e-06,1.305e-04,8.8179e+00,2.363e-07,5.104e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,85,10669,8590,2079,12602,7.8971e-06,3.217e-03,7.871e-02,1.7460e-06,2.119e-04,5.259e-03,2.0585e-04,1.265e-03,1.300e-02,1.3563e-06,5.812e-06,1.676e-04,5.4367e+05,4.635e-06,1.418e-04,8.8179e+00,2.130e-07,5.505e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,90,10669,8590,2079,12602,7.8971e-06,2.909e-03,6.336e-02,1.7460e-06,2.084e-04,5.980e-03,2.0585e-04,9.318e-04,5.531e-03,1.3563e-06,5.722e-06,1.496e-04,5.4367e+05,3.981e-06,7.390e-05,8.8179e+00,2.128e-07,5.070e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,95,10669,8590,2079,12602,7.8971e-06,2.987e-03,8.654e-02,1.7460e-06,2.180e-04,6.216e-03,2.0585e-04,7.799e-04,9.729e-03,1.3563e-06,5.836e-06,1.535e-04,5.4367e+05,4.024e-06,8.663e-05,8.8179e+00,2.140e-07,4.939e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,100,10669,8590,2079,12602,7.8971e-06,2.656e-03,6.524e-02,1.7460e-06,2.086e-04,6.419e-03,2.0585e-04,5.624e-04,6.520e-03,1.3563e-06,5.666e-06,1.783e-04,5.4367e+05,6.422e-06,3.890e-04,8.8179e+00,2.150e-07,5.782e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,105,10669,8590,2079,12602,7.8971e-06,2.546e-03,5.801e-02,1.7460e-06,1.985e-04,6.625e-03,2.0585e-04,6.348e-04,7.517e-03,1.3563e-06,5.312e-06,1.840e-04,5.4367e+05,7.013e-06,4.528e-04,8.8179e+00,2.034e-07,5.976e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,110,10669,8590,2079,12602,7.8971e-06,2.292e-03,5.491e-02,1.7460e-06,2.517e-04,7.819e-03,2.0585e-04,5.877e-04,6.830e-03,1.3563e-06,6.403e-06,2.185e-04,5.4367e+05,3.712e-06,6.369e-05,8.8179e+00,2.362e-07,7.243e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,115,10669,8590,2079,12602,7.8971e-06,2.617e-03,6.307e-02,1.7460e-06,2.367e-04,7.293e-03,2.0585e-04,6.794e-04,5.653e-03,1.3563e-06,6.035e-06,2.039e-04,5.4367e+05,4.345e-06,1.778e-04,8.8179e+00,2.207e-07,6.770e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,120,10669,8590,2079,12602,7.8971e-06,2.484e-03,8.845e-02,1.7460e-06,2.183e-04,6.202e-03,2.0585e-04,5.459e-04,7.839e-03,1.3563e-06,5.692e-06,1.410e-04,5.4367e+05,3.809e-06,7.056e-05,8.8179e+00,2.171e-07,4.619e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,125,10669,8590,2079,12602,7.8971e-06,2.748e-03,1.015e-01,1.7460e-06,1.866e-04,6.078e-03,2.0585e-04,8.014e-04,9.113e-03,1.3563e-06,4.644e-06,1.303e-04,5.4367e+05,3.828e-06,7.375e-05,8.8179e+00,1.905e-07,3.627e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,130,10669,8590,2079,12602,7.8971e-06,2.731e-03,6.365e-02,1.7460e-06,1.533e-04,3.912e-03,2.0585e-04,8.929e-04,1.018e-02,1.3563e-06,4.018e-06,1.280e-04,5.4367e+05,4.566e-06,2.005e-04,8.8179e+00,1.853e-07,4.428e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,135,10669,8590,2079,12602,7.8971e-06,2.866e-03,7.501e-02,1.7460e-06,1.258e-04,3.520e-03,2.0585e-04,1.091e-03,1.088e-02,1.3563e-06,3.383e-06,1.120e-04,5.4367e+05,5.221e-06,2.759e-04,8.8179e+00,1.555e-07,3.614e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,140,10669,8590,2079,12602,7.8971e-06,2.390e-03,7.159e-02,1.7460e-06,1.422e-04,3.302e-03,2.0585e-04,7.814e-04,8.462e-03,1.3563e-06,3.743e-06,8.620e-05,5.4367e+05,5.572e-06,3.114e-04,8.8179e+00,1.592e-07,2.667e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,145,10669,8590,2079,12602,7.8971e-06,3.013e-03,9.705e-02,1.7460e-06,1.326e-04,3.338e-03,2.0585e-04,8.801e-04,1.156e-02,1.3563e-06,3.225e-06,8.277e-05,5.4367e+05,5.302e-06,2.745e-04,8.8179e+00,1.442e-07,2.720e-06
