model,setting,method,production_event,displacement_file,md5,md5_production,check
SST,cap1600,GP2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SST,cap1600,NN2,9,Displacement_00009.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SST,cap1600,NN2,19,Displacement_00019.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SST,cap1600,NN2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SST,cap6400,GP2,9,Displacement_00009.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SST,cap6400,GP2,19,Displacement_00019.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SST,cap6400,GP2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SST,cap6400,NN2,9,Displacement_00009.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SST,cap6400,NN2,19,Displacement_00019.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SST,cap6400,NN2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SST,halfstep,GP2,9,Displacement_00019.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SST,halfstep,GP2,19,Displacement_00039.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SST,halfstep,GP2,29,Displacement_00059.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SST,halfstep,NN2,9,Displacement_00019.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SST,halfstep,NN2,19,Displacement_00039.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SST,halfstep,NN2,29,Displacement_00059.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
