seed,event_step,SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA_WD_0.01-20_NN_Drift_Second,SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST_WD_0.01-20_NN_Drift_Second,identical_across_cases
2,00229,e529fcaa26526824,e529fcaa26526824,e529fcaa26526824,e529fcaa26526824,yes
2,00239,bfd110ce86ddf1e1,bfd110ce86ddf1e1,bfd110ce86ddf1e1,bfd110ce86ddf1e1,yes
2,00249,b10430b9ca5a910e,b10430b9ca5a910e,b10430b9ca5a910e,b10430b9ca5a910e,yes
2,00259,45bc9008f5877947,45bc9008f5877947,45bc9008f5877947,45bc9008f5877947,yes
2,00269,3c5dcd1b5445c059,3c5dcd1b5445c059,3c5dcd1b5445c059,3c5dcd1b5445c059,yes
2,00279,c4057bd0f4f5c427,c4057bd0f4f5c427,c4057bd0f4f5c427,c4057bd0f4f5c427,yes
2,00289,2ce7e9f2f1dbc9f4,2ce7e9f2f1dbc9f4,2ce7e9f2f1dbc9f4,2ce7e9f2f1dbc9f4,yes
2,00299,0077ccd105a328fe,0077ccd105a328fe,0077ccd105a328fe,0077ccd105a328fe,yes
2,00309,42eadacdb066bb48,42eadacdb066bb48,42eadacdb066bb48,42eadacdb066bb48,yes
2,00319,0f294b86e5e578d7,0f294b86e5e578d7,0f294b86e5e578d7,0f294b86e5e578d7,yes
2,00329,8901a962ccbbd27e,8901a962ccbbd27e,8901a962ccbbd27e,8901a962ccbbd27e,yes
2,00339,a138100387c0fa53,a138100387c0fa53,a138100387c0fa53,a138100387c0fa53,yes
2,00349,aa646c35d1f3a58f,aa646c35d1f3a58f,aa646c35d1f3a58f,aa646c35d1f3a58f,yes
2,00359,b423b3578bf08382,b423b3578bf08382,b423b3578bf08382,b423b3578bf08382,yes
2,00369,8b7234dcd2c8bd2a,8b7234dcd2c8bd2a,8b7234dcd2c8bd2a,8b7234dcd2c8bd2a,yes
2,00379,16803e5ac3b7cd12,16803e5ac3b7cd12,16803e5ac3b7cd12,16803e5ac3b7cd12,yes
2,00389,de8d929849145efb,de8d929849145efb,de8d929849145efb,de8d929849145efb,yes
2,00399,fd025f7cf075e043,fd025f7cf075e043,fd025f7cf075e043,fd025f7cf075e043,yes
