case,model,coeff,d_in,d_out,event,window,pre_floor,leak,peak,peak_lag,censored,at_breakdown_rounding,lag_1pct,lag_5pct,lag_10pct,lag_25pct,lag_50pct,predicted_lag
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SST,CD,0.1,0.15,200,199,0.00e+00,2.50e-06,1.125e-05,2,no,no,0,0,0,1,1,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SST,CDp,0.1,0.15,200,199,0.00e+00,3.00e-06,1.100e-05,2,no,yes,0,0,0,0,1,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SST,CDv,0.1,0.15,200,199,0.00e+00,0.00e+00,0.000e+00,0,no,yes,,,,,,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SST,CMz,0.1,0.15,200,199,0.00e+00,1.26e-05,2.940e-05,2,no,no,0,0,0,0,1,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SST,CL,0.1,0.15,200,199,0.00e+00,2.05e-05,6.918e-05,199,yes,no,0,0,0,0,2,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SST,CD,0.1,0.15,200,199,0.00e+00,2.32e-06,5.614e-06,2,no,no,0,0,0,0,1,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SST,CDp,0.1,0.15,200,199,0.00e+00,3.00e-06,6.000e-06,2,no,yes,0,0,0,0,0,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SST,CDv,0.1,0.15,200,199,0.00e+00,0.00e+00,0.000e+00,0,no,yes,,,,,,0.29
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SST,CMz,0.1,0.15,200,199,0.00e+00,5.39e-06,1.280e-05,2,no,no,0,0,0,0,1,0.29
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SST,CL,0.2,0.25,400,399,0.00e+00,9.95e-06,2.202e-05,8,no,no,0,0,0,0,1,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SST,CD,0.2,0.25,400,399,0.00e+00,1.68e-06,2.288e-06,1,no,no,0,0,0,0,0,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SST,CDp,0.2,0.25,400,399,0.00e+00,1.00e-06,2.000e-06,1,no,yes,0,0,0,0,1,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SST,CDv,0.2,0.25,400,399,0.00e+00,0.00e+00,0.000e+00,0,no,yes,,,,,,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SST,CMz,0.2,0.25,400,399,0.00e+00,1.35e-06,2.286e-06,1,no,no,0,0,0,0,0,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,SST,CL,0.2,0.25,200,199,0.00e+00,3.29e-06,4.748e-05,199,yes,no,0,0,1,2,4,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,SST,CD,0.2,0.25,200,199,0.00e+00,1.27e-06,3.293e-06,6,no,no,0,0,0,0,1,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,SST,CDp,0.2,0.25,200,199,0.00e+00,1.00e-06,3.000e-06,5,no,yes,0,0,0,0,1,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,SST,CDv,0.2,0.25,200,199,0.00e+00,0.00e+00,0.000e+00,0,no,yes,,,,,,0.58
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,SST,CMz,0.2,0.25,200,199,0.00e+00,1.16e-06,6.430e-06,4,no,no,0,0,0,2,3,0.58
