model,setting,quantity,coeff,step,value
SA,production,GP2,CDv,9,0.000000e+00
SA,production,GP2,CDv,10,5.453511e-08
SA,production,GP2,CDv,11,1.005105e-07
SA,production,GP2,CDv,12,1.210290e-07
SA,production,GP2,CDv,13,1.065573e-07
SA,production,GP2,CDv,14,6.958959e-08
SA,production,GP2,CDv,15,3.566876e-08
SA,production,GP2,CDv,16,1.570902e-09
SA,production,GP2,CDv,17,-2.548411e-08
SA,production,GP2,CDv,18,-4.671855e-08
SA,production,GP2,CDv,19,-6.711713e-08
SA,production,GP2,CDv,20,-1.013595e-07
SA,production,GP2,CDv,21,-7.520618e-08
SA,production,GP2,CDv,22,-1.970866e-08
SA,production,GP2,CDv,23,6.969949e-08
SA,production,GP2,CDv,24,1.849186e-07
SA,production,GP2,CDv,25,3.002140e-07
SA,production,GP2,CDv,26,3.951622e-07
SA,production,GP2,CDv,27,4.762242e-07
SA,production,GP2,CDv,28,5.328130e-07
SA,production,GP2,CDv,29,5.742628e-07
SA,production,GP2,CDv,30,4.864620e-07
SA,production,GP2,CDv,31,3.973727e-07
SA,production,GP2,CDv,32,2.852926e-07
SA,production,GP2,CDv,33,1.863648e-07
SA,production,GP2,CDv,34,1.079315e-07
SA,production,GP2,CDv,35,4.721642e-08
SA,production,GP2,CDv,36,6.397696e-09
SA,production,GP2,CDv,37,-2.303401e-08
SA,production,GP2,CDv,38,-3.411165e-08
SA,production,GP2,CDv,39,-4.964483e-09
SA,production,GP2,CDv,40,1.566472e-07
SA,production,NN2,CL,2,0.000000e+00
SA,production,NN2,CL,3,0.000000e+00
SA,production,NN2,CL,4,0.000000e+00
SA,production,NN2,CL,5,0.000000e+00
SA,production,NN2,CL,6,0.000000e+00
SA,production,NN2,CL,7,0.000000e+00
SA,production,NN2,CL,8,0.000000e+00
SA,production,NN2,CL,9,0.000000e+00
SA,production,NN2,CL,10,1.687360e-05
SA,production,NN2,CL,11,3.127820e-05
SA,production,NN2,CL,12,1.705810e-05
SA,production,NN2,CL,13,1.560820e-05
SA,production,NN2,CL,14,2.733010e-05
SA,production,NN2,CL,15,3.445010e-05
SA,production,NN2,CL,16,3.527570e-05
SA,production,NN2,CL,17,3.052980e-05
SA,production,NN2,CL,18,3.422800e-05
SA,production,NN2,CL,19,5.222210e-05
SA,production,NN2,CL,20,2.149245e-04
SA,production,NN2,CL,21,3.779600e-04
SA,production,NN2,CL,22,4.585608e-04
SA,production,NN2,CL,23,5.104978e-04
SA,production,NN2,CL,24,4.884305e-04
SA,production,NN2,CL,25,4.277617e-04
SA,production,NN2,CL,26,3.327470e-04
SA,production,NN2,CL,27,2.786917e-04
SA,production,NN2,CL,28,2.852001e-04
SA,production,NN2,CL,29,3.278177e-04
SA,production,NN2,CL,30,2.541380e-04
SA,production,NN2,CL,31,2.289552e-04
SA,production,NN2,CL,32,2.188822e-04
SA,production,NN2,CL,33,2.625455e-04
SA,production,NN2,CL,34,3.206308e-04
