node,x,y,wall_distance_solver,moved_event_00009,in_quad_layer,displacement_event_00009
5780,-0.044434,0.122062,1.176036e-01,1,0,8.455e-04
5781,-0.035527,0.046866,5.336136e-02,1,0,5.176e-04
5782,-0.014270,0.000440,1.427308e-02,1,0,2.628e-04
5783,-0.015202,0.001994,1.526671e-02,1,0,1.289e-04
5784,-0.015467,0.000824,1.547789e-02,1,0,1.046e-04
5785,-0.033473,-0.048412,5.283846e-02,1,0,6.346e-04
5786,-0.035563,-0.039737,4.895350e-02,1,0,3.743e-04
5787,-0.044133,-0.035281,5.368805e-02,1,0,6.813e-04
5788,-0.044663,-0.039169,5.614953e-02,1,0,5.263e-04
5789,-0.039883,-0.039779,5.249384e-02,1,0,4.834e-04
5790,-0.042053,0.093998,9.286590e-02,1,0,1.043e-03
5791,-0.050078,0.096307,9.951629e-02,1,0,1.131e-03
5792,-0.051965,0.087749,9.405967e-02,1,0,6.243e-04
5793,-0.037795,0.111746,1.053427e-01,1,0,3.852e-04
5794,20.939390,-29.840244,3.588899e+01,0,0,0.000e+00
5795,20.509657,-25.777483,3.232809e+01,0,0,0.000e+00
5796,-20.694778,-24.017006,3.169683e+01,0,0,0.000e+00
5797,-25.200291,-8.216685,2.650524e+01,0,0,0.000e+00
5798,-26.921415,-8.727423,2.829995e+01,0,0,0.000e+00
5799,-26.307070,-10.512441,2.832859e+01,0,0,0.000e+00
5800,-25.645140,-6.639991,2.649030e+01,0,0,0.000e+00
5801,-27.387465,-7.085580,2.828870e+01,0,0,0.000e+00
5802,-25.929411,-5.251420,2.645554e+01,0,0,0.000e+00
5803,-27.689316,-5.605135,2.825063e+01,0,0,0.000e+00
5804,-27.974443,-4.221872,2.829106e+01,0,0,0.000e+00
5805,-23.908760,17.101686,2.939242e+01,0,0,0.000e+00
5806,-22.882244,18.116488,2.918205e+01,0,0,0.000e+00
5807,-0.031599,0.033524,4.212768e-02,1,0,5.625e-04
5808,0.847199,-0.530934,5.078424e-01,1,0,6.569e-03
5809,0.807591,-0.570185,5.426227e-01,1,0,5.631e-03
5810,0.637163,-0.651796,6.080134e-01,1,0,1.158e-03
5811,0.601453,-0.659699,6.131135e-01,1,0,6.543e-03
5812,0.525679,-0.616079,5.643902e-01,1,0,1.485e-03
5813,0.528304,-0.668264,6.166386e-01,1,0,2.024e-03
5814,0.491190,-0.668774,6.149970e-01,1,0,5.349e-03
5815,0.454843,-0.666911,6.113174e-01,1,0,5.410e-03
5816,0.425198,-0.613182,5.563713e-01,1,0,6.535e-03
5817,0.420462,-0.663063,6.060242e-01,1,0,4.138e-03
5818,0.386095,-0.656396,5.982350e-01,1,0,6.428e-03
5819,0.336255,-0.699983,6.407683e-01,1,0,4.562e-03
5820,0.291054,-0.680788,6.213161e-01,1,0,5.092e-03
5821,0.283135,-0.738509,6.790648e-01,1,0,9.448e-03
5822,-0.016561,-0.002861,1.668891e-02,1,0,2.267e-04
5823,-0.015847,-0.001848,1.590106e-02,1,0,2.007e-04
5824,-0.015043,-0.000776,1.505298e-02,1,0,2.312e-04
5825,-0.019544,-0.007269,2.028860e-02,1,0,1.970e-04
5826,0.051109,-0.382502,3.394372e-01,1,0,4.536e-03
5827,0.034615,-0.366680,3.266003e-01,1,0,3.219e-03
5828,0.019604,-0.349910,3.129550e-01,1,0,1.928e-03
5829,-0.025125,-0.014958,2.777348e-02,1,0,2.407e-04
5830,1.041445,-0.135474,1.416723e-01,1,0,1.820e-03
5831,-0.036537,-0.054867,5.948900e-02,1,0,8.519e-04
5832,-0.039730,-0.068483,7.150777e-02,1,0,6.079e-04
5833,-0.040338,-0.062231,6.737355e-02,1,0,4.367e-04
5834,23.276978,-24.007811,3.275116e+01,0,0,0.000e+00
5835,20.648384,-22.963074,3.022187e+01,0,0,0.000e+00
5836,1.121143,0.074515,1.422260e-01,1,0,1.790e-03
5837,1.111536,0.066902,1.300616e-01,1,0,2.518e-04
5838,1.119005,0.058224,1.324848e-01,1,0,2.103e-03
