case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.000032,0.000999,9.794636e-04,9.794636e-04,-8.403733e-01,-8.403733e-01,2.5618,2.5618
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.000140,0.002094,2.127984e-03,2.127984e-03,-1.087060e+00,-1.087060e+00,2.6379,2.6379
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.000346,0.003286,3.390567e-03,3.390567e-03,-1.380670e+00,-1.380670e+00,2.6735,2.6735
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.000674,0.004575,4.695185e-03,4.695185e-03,-1.643742e+00,-1.643742e+00,2.6855,2.6855
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.001152,0.005959,6.016463e-03,6.016463e-03,-1.887580e+00,-1.887580e+00,2.6911,2.6911
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.001805,0.007431,7.311575e-03,7.311575e-03,-2.083506e+00,-2.083506e+00,2.6937,2.6937
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.002658,0.008982,8.534094e-03,8.534094e-03,-2.245438e+00,-2.245438e+00,2.6936,2.6936
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.003737,0.010605,9.597689e-03,9.597689e-03,-2.350420e+00,-2.350420e+00,2.6847,2.6847
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.005063,0.012288,1.042339e-02,1.042339e-02,-2.412719e+00,-2.412719e+00,2.6619,2.6619
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.006659,0.014024,1.096322e-02,1.096322e-02,-2.433991e+00,-2.433991e+00,2.6231,2.6231
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.008544,0.015805,1.125226e-02,1.125226e-02,-2.418119e+00,-2.418119e+00,2.5738,2.5738
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.010740,0.017625,1.131506e-02,1.131506e-02,-2.379080e+00,-2.379080e+00,2.5155,2.5155
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.013270,0.019481,1.119559e-02,1.119559e-02,-2.317776e+00,-2.317776e+00,2.4510,2.4510
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.016160,0.021369,1.095557e-02,1.095557e-02,-2.247428e+00,-2.247428e+00,2.3845,2.3845
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.019437,0.023288,1.063751e-02,1.063751e-02,-2.166589e+00,-2.166589e+00,2.3180,2.3180
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.023132,0.025234,1.027461e-02,1.027461e-02,-2.084679e+00,-2.084679e+00,2.2531,2.2531
