case,model,method,coeff,n_steps,first_step,last_step,ref_mean,offset,scatter,max_abs_dev,trend_per_100,trend_stderr,resolved,trend_pct_per_100,at_breakdown_rounding,lag1_autocorr,trend_stderr_ar1,n_eff,resolved_ar1
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,ConsGalerkinProj,CDp,398,2,399,3.469000e-03,5.997e-05,2.987e-05,1.360e-04,1.809e-06,1.30e-06,no,0.0521,no,0.929,6.79e-06,15,no
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,ConsGalerkinProj,CDv,398,2,399,6.389000e-03,4.221e-07,1.231e-06,3.000e-06,1.247e-07,5.35e-08,yes,0.0020,yes,0.961,3.81e-07,8,no
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,ConsGalerkinProj,CMz,398,2,399,3.819379e-04,-4.037e-06,1.050e-04,3.285e-04,-1.779e-05,4.50e-06,yes,-4.6587,no,0.918,2.18e-05,17,no
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SST,ConsGalerkinProj,CL,398,2,399,6.756033e-01,-2.035e-04,2.748e-04,1.010e-03,-7.879e-05,1.13e-05,yes,-0.0117,no,0.939,6.39e-05,13,no
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SST,ConsGalerkinProj,CD,398,2,399,9.858431e-03,5.845e-05,3.072e-05,1.288e-04,3.075e-06,1.33e-06,yes,0.0312,no,0.927,6.88e-06,15,no
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SST,ConsGalerkinProj,CDp,398,2,399,3.469000e-03,5.858e-05,3.086e-05,1.290e-04,2.916e-06,1.34e-06,yes,0.0841,no,0.927,6.92e-06,15,no
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SST,ConsGalerkinProj,CDv,398,2,399,6.389000e-03,3.040e-07,2.697e-06,1.400e-05,1.862e-07,1.18e-07,no,0.0029,no,0.979,1.15e-06,4,no
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SST,ConsGalerkinProj,CMz,398,2,399,3.819379e-04,-2.311e-05,1.153e-04,3.458e-04,-1.512e-05,4.99e-06,yes,-3.9598,no,0.921,2.47e-05,16,no
RANS_SST_WD_0.01-20_NN_Drift_Second,SST,NN,CL,398,2,399,6.756033e-01,-9.703e-05,2.456e-04,8.222e-04,-7.924e-05,9.98e-06,yes,-0.0117,no,0.935,5.45e-05,13,no
RANS_SST_WD_0.01-20_NN_Drift_Second,SST,NN,CD,398,2,399,9.858431e-03,6.069e-05,3.041e-05,1.375e-04,1.730e-06,1.33e-06,no,0.0176,no,0.928,6.85e-06,15,no
RANS_SST_WD_0.01-20_NN_Drift_Second,SST,NN,CDp,398,2,399,3.469000e-03,6.054e-05,3.042e-05,1.370e-04,1.667e-06,1.33e-06,no,0.0480,no,0.928,6.85e-06,15,no
RANS_SST_WD_0.01-20_NN_Drift_Second,SST,NN,CDv,398,2,399,6.389000e-03,5.628e-07,1.311e-06,4.000e-06,5.680e-08,5.73e-08,no,0.0009,yes,0.962,4.11e-07,8,no
RANS_SST_WD_0.01-20_NN_Drift_Second,SST,NN,CMz,398,2,399,3.819379e-04,-1.994e-06,1.067e-04,3.230e-04,-1.711e-05,4.59e-06,yes,-4.4789,no,0.918,2.22e-05,17,no
RANS_SST_WD_0.01-20_NN_Drift_Seed2_Second,SST,NN,CL,398,2,399,6.756033e-01,-1.963e-04,2.530e-04,9.459e-04,-5.603e-05,1.07e-05,yes,-0.0083,no,0.936,5.89e-05,13,no
RANS_SST_WD_0.01-20_NN_Drift_Seed2_Second,SST,NN,CD,398,2,399,9.858431e-03,5.937e-05,2.990e-05,1.311e-04,4.743e-06,1.29e-06,yes,0.0481,no,0.930,6.77e-06,14,no
RANS_SST_WD_0.01-20_NN_Drift_Seed2_Second,SST,NN,CDp,398,2,399,3.469000e-03,6.007e-05,2.976e-05,1.300e-04,5.068e-06,1.28e-06,yes,0.1461,no,0.929,6.64e-06,15,no
RANS_SST_WD_0.01-20_NN_Drift_Seed2_Second,SST,NN,CDv,398,2,399,6.389000e-03,-3.116e-07,2.026e-06,8.000e-06,-2.996e-07,8.73e-08,yes,-0.0047,no,0.979,8.45e-07,4,no
RANS_SST_WD_0.01-20_NN_Drift_Seed2_Second,SST,NN,CMz,398,2,399,3.819379e-04,-1.881e-05,1.086e-04,3.446e-04,-7.450e-06,4.74e-06,no,-1.9505,no,0.919,2.30e-05,17,no
