setting,quantity,coeff,step,value
L0,GP2,CDv,39,2.556158e-08
L0,GP2,CDv,40,3.106087e-08
L0,NN2,CL,2,0.000000e+00
L0,NN2,CL,3,0.000000e+00
L0,NN2,CL,4,0.000000e+00
L0,NN2,CL,5,0.000000e+00
L0,NN2,CL,6,0.000000e+00
L0,NN2,CL,7,0.000000e+00
L0,NN2,CL,8,0.000000e+00
L0,NN2,CL,9,0.000000e+00
L0,NN2,CL,10,-1.427600e-06
L0,NN2,CL,11,3.249480e-05
L0,NN2,CL,12,3.128430e-05
L0,NN2,CL,13,4.113300e-05
L0,NN2,CL,14,4.828060e-05
L0,NN2,CL,15,3.763310e-05
L0,NN2,CL,16,1.307970e-05
L0,NN2,CL,17,-1.003400e-05
L0,NN2,CL,18,-2.256310e-05
L0,NN2,CL,19,-2.930690e-05
L0,NN2,CL,20,-5.300130e-05
L0,NN2,CL,21,-5.679250e-05
L0,NN2,CL,22,-2.524850e-05
L0,NN2,CL,23,-1.061570e-05
L0,NN2,CL,24,-1.176320e-05
L0,NN2,CL,25,-2.165730e-05
L0,NN2,CL,26,-1.984300e-05
L0,NN2,CL,27,-4.114200e-06
L0,NN2,CL,28,1.629930e-05
L0,NN2,CL,29,3.389450e-05
L0,NN2,CL,30,1.990320e-05
L0,NN2,CL,31,2.315350e-05
L0,NN2,CL,32,-3.164780e-05
L0,NN2,CL,33,-8.950080e-05
L0,NN2,CL,34,-9.878130e-05
L0,NN2,CL,35,-5.207950e-05
L0,NN2,CL,36,6.479000e-06
L0,NN2,CL,37,4.785630e-05
L0,NN2,CL,38,7.056280e-05
L0,NN2,CL,39,7.197090e-05
L0,NN2,CL,40,3.228850e-05
L0,NN2,CD,2,0.000000e+00
L0,NN2,CD,3,0.000000e+00
L0,NN2,CD,4,0.000000e+00
L0,NN2,CD,5,0.000000e+00
L0,NN2,CD,6,0.000000e+00
L0,NN2,CD,7,0.000000e+00
L0,NN2,CD,8,0.000000e+00
L0,NN2,CD,9,0.000000e+00
L0,NN2,CD,10,6.549276e-06
L0,NN2,CD,11,2.025155e-05
L0,NN2,CD,12,1.613077e-05
L0,NN2,CD,13,1.341831e-05
L0,NN2,CD,14,1.090405e-05
L0,NN2,CD,15,5.147489e-06
L0,NN2,CD,16,6.262260e-07
L0,NN2,CD,17,-6.789730e-07
L0,NN2,CD,18,-1.179576e-06
L0,NN2,CD,19,-4.350254e-06
L0,NN2,CD,20,-2.507209e-05
L0,NN2,CD,21,-1.632467e-05
L0,NN2,CD,22,-3.016950e-06
L0,NN2,CD,23,1.959526e-06
L0,NN2,CD,24,7.574776e-06
L0,NN2,CD,25,1.617126e-05
L0,NN2,CD,26,2.039960e-05
L0,NN2,CD,27,2.089529e-05
L0,NN2,CD,28,2.043644e-05
L0,NN2,CD,29,2.149040e-05
L0,NN2,CD,30,3.089631e-05
L0,NN2,CD,31,2.649750e-05
L0,NN2,CD,32,-1.088400e-06
L0,NN2,CD,33,-9.679435e-06
L0,NN2,CD,34,-2.012109e-06
L0,NN2,CD,35,1.144239e-05
L0,NN2,CD,36,2.784036e-05
L0,NN2,CD,37,3.733699e-05
