case,model,step,which,field,src_integral,tgt_integral,rel_defect_(tgt-src)/src,src_change_since_prev_event
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,38,bdf2_level,Nu_Tilde,1.588962533078e-03,1.588962538161e-03,3.199e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Density,3.136378599930e+04,3.136378599929e+04,-1.837e-13,-4.263e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Momentum_x,3.119235066760e+03,3.119235066766e+03,1.822e-12,-3.072e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Momentum_y,3.275320856422e+02,3.275320856415e+02,-2.147e-12,-1.774e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Energy,5.616358237633e+04,5.616358237632e+04,-2.094e-13,-5.835e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Nu_Tilde,1.588962554944e-03,1.588962560036e-03,3.205e-09,-3.962e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Density,3.136378599929e+04,3.136378599928e+04,-2.862e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Momentum_x,3.119235065962e+03,3.119235065952e+03,-3.190e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Momentum_y,3.275320817909e+02,3.275320817967e+02,1.779e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Energy,5.616358237631e+04,5.616358237629e+04,-3.954e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Nu_Tilde,1.588962480665e-03,1.588962478166e-03,-1.573e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,49,state,Density,3.136378599929e+04,3.136378599928e+04,-2.769e-13,-1.866e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,49,state,Momentum_x,3.119235065877e+03,3.119235065868e+03,-3.141e-12,-2.829e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,49,state,Momentum_y,3.275320813497e+02,3.275320813559e+02,1.886e-11,-1.311e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,49,state,Energy,5.616358237631e+04,5.616358237629e+04,-3.780e-13,-2.699e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,49,state,Nu_Tilde,1.588962449203e-03,1.588962446723e-03,-1.560e-09,-6.655e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,58,bdf2_level,Density,3.136378599928e+04,3.136378599928e+04,-1.317e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,58,bdf2_level,Momentum_x,3.119235064947e+03,3.119235064990e+03,1.391e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,58,bdf2_level,Momentum_y,3.275320809475e+02,3.275320809397e+02,-2.380e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,58,bdf2_level,Energy,5.616358237629e+04,5.616358237628e+04,-1.679e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,58,bdf2_level,Nu_Tilde,1.588962063776e-03,1.588962061261e-03,-1.583e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,59,state,Density,3.136378599928e+04,3.136378599928e+04,-1.241e-13,-3.004e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,59,state,Momentum_x,3.119235064822e+03,3.119235064864e+03,1.355e-11,-3.385e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,59,state,Momentum_y,3.275320810888e+02,3.275320810811e+02,-2.361e-11,-7.965e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,59,state,Energy,5.616358237629e+04,5.616358237628e+04,-1.608e-13,-4.476e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,59,state,Nu_Tilde,1.588962025613e-03,1.588962023071e-03,-1.600e-09,-2.666e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,68,bdf2_level,Density,3.136378599928e+04,3.136378599927e+04,-2.567e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,68,bdf2_level,Momentum_x,3.119235064149e+03,3.119235064186e+03,1.189e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,68,bdf2_level,Momentum_y,3.275320779404e+02,3.275320779468e+02,1.950e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,68,bdf2_level,Energy,5.616358237628e+04,5.616358237627e+04,-2.942e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,68,bdf2_level,Nu_Tilde,1.588961553569e-03,1.588961549910e-03,-2.303e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,69,state,Density,3.136378599928e+04,3.136378599927e+04,-2.438e-13,-1.330e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,69,state,Momentum_x,3.119235064112e+03,3.119235064152e+03,1.275e-11,-2.275e-10
