model,method,seed,step,rms_dCp,max_dCp,rms_dCfx,max_dCfx,maxYplus_ref,maxYplus_case
SA,GP2,1,399,2.742000000000e-03,1.832000000000e-02,3.480000000000e-06,1.978000000000e-05,2.694000000000e+00,2.694000000000e+00
SA,GP2,2,399,3.889000000000e-03,3.452000000000e-02,3.132000000000e-06,1.500000000000e-05,2.694000000000e+00,2.694000000000e+00
SA,NN2,1,399,2.777000000000e-03,1.815000000000e-02,3.494000000000e-06,1.960000000000e-05,2.694000000000e+00,2.694000000000e+00
SA,NN2,2,399,3.897000000000e-03,3.458000000000e-02,3.166000000000e-06,1.515000000000e-05,2.694000000000e+00,2.694000000000e+00
SST,GP2,1,399,2.768000000000e-03,1.806000000000e-02,2.806000000000e-06,1.770000000000e-05,2.642000000000e+00,2.642000000000e+00
SST,GP2,2,399,3.360000000000e-03,2.453000000000e-02,2.774000000000e-06,1.246000000000e-05,2.642000000000e+00,2.642000000000e+00
SST,NN2,1,399,2.789000000000e-03,1.784000000000e-02,2.823000000000e-06,1.776000000000e-05,2.642000000000e+00,2.642000000000e+00
SST,NN2,2,399,3.379000000000e-03,2.459000000000e-02,2.815000000000e-06,1.268000000000e-05,2.642000000000e+00,2.642000000000e+00
