scheme,nominal,Struct_fit,Struct_fine,Mixed_fit,Mixed_fine
NN1,1,1.013342776856612,1.009013831570277,1.010218491553154,1.016199900676861
NN2,2,2.02670936766592,2.016977422690085,2.027562074762217,2.025989226494904
NN3,3,3.00347861145402,3.003366508277979,3.004886124210075,3.04048293018682
BAR2,2,2.023911694592665,2.016365901460039,2.015932605305787,2.05019118751482
BAR3,3,3.364428275188384,3.239173179755628,3.274529551401552,3.220925795930563
GP2,2,2.038578432970238,2.025782045406302,2.016516639044573,2.063359787972058
GP3,3,3.337696745832845,3.211767174981368,3.239120781165874,3.203329162018876
