scheme,Struct_rel_L1,Struct_rel_L2,Struct_rel_Linf,Mixed_rel_L1,Mixed_rel_L2,Mixed_rel_Linf
NN1,1.00288400395767,1.013342776856612,1.000778605843545,0.9962728175968454,1.010218491553154,0.8335411557755685
NN2,2.011546881697695,2.026709367665921,2.003840026678546,2.024185192624319,2.027562074762218,1.784725538347069
NN3,3.000144014858223,3.003478611454044,2.931527846564865,2.988256741273121,3.004886124210116,2.840488148157335
BAR2,2.01443634653835,2.023911694592665,1.983646793309808,2.002698801961053,2.015932605305787,1.819930964880658
BAR3,3.430121472027513,3.364428275188685,2.97059525322755,3.293292815885473,3.274529551401256,3.092281087811564
GP2,2.043121641391251,2.038578432970224,1.992711733947528,2.014489646634117,2.016516639044588,1.79991698988117
GP3,3.369824835036474,3.337696742325014,3.217612812484336,3.238764361508499,3.239120782744676,3.019152574693639
