model,seed,NN2_rms,GP2_rms,paired_rms,paired_max
SA,1,3.244150500442e-05,3.268015527718e-05,8.795537767829e-06,3.230937200000e-05
SA,2,3.034047036970e-05,3.005504847026e-05,8.835530232398e-06,2.987390000000e-05
SST,1,3.422502248330e-05,3.427072454086e-05,8.709224527246e-06,3.140300300000e-05
SST,2,3.245286150993e-05,3.256581007164e-05,8.818226940659e-06,3.066542000000e-05
