model,CL_original,CD_original,CDp_original,CDv_original,dCL,dCD,dCMz
SA,6.552280000000e-01,8.428000000000e-03,1.786000000000e-03,6.642000000000e-03,-1.891000000000e-03,-1.189000000000e-05,-3.284000000000e-04
SST,6.532380000000e-01,8.120000000000e-03,1.751000000000e-03,6.369000000000e-03,-9.649000000000e-04,-9.910000000000e-07,-1.422000000000e-04
