N,h_Struct,Struct_NN1,Struct_NN2,Struct_NN3,Struct_BAR2,Struct_BAR3,Struct_GP2,Struct_GP3,h_Mixed,Mixed_NN1,Mixed_NN2,Mixed_NN3,Mixed_BAR2,Mixed_BAR3,Mixed_GP2,Mixed_GP3
64,0.015625,0.008856973632416099,0.0002103179770528,4.445223354230042e-06,9.533585397596878e-05,7.334985706485007e-06,5.851990821896033e-15,5.101259818543214e-06,0.0128321184387413,0.0014676980816484,0.0009229506841274999,0.0008538831242866001,0.0003565431962188,0.0005817155145709,6.452842562075041e-05,0.0008082087108798001
128,0.0078125,0.0044582841194489,5.258752236227629e-05,5.517357834095765e-07,2.183710195167047e-05,8.80077780825582e-07,1.456904930330922e-15,4.831337311794976e-07,0.0064007947720214,0.0002889461495936,7.395328240253726e-05,0.0001578843241689,0.0003232662244207,0.0002916242554324,0.000310466345611,0.0003424788967305
256,0.00390625,0.0022077310571063,1.29781484689947e-05,6.783724271465725e-08,5.357478647215323e-06,1.091554941412144e-07,7.120734416499728e-14,5.203334844706746e-08,0.0032206327947704,0.0001487715006545,9.59997191532014e-05,0.0001594289867569,0.0001332202757242,0.0001248673251577,0.0001186974423041,0.0001290206075074
