model,method,seed,n,first,last,CL_trend,CL_se,CL_mean,CL_rms,CL_peak,CL_lag1_corr,CD_trend,CD_se,CD_mean,CD_rms,CD_peak,CD_lag1_corr,CMz_trend,CMz_se,CMz_mean,CMz_rms,CMz_peak,CMz_lag1_corr,CDp_trend,CDp_se,CDp_mean,CDp_rms,CDp_peak,CDp_lag1_corr,CDv_trend,CDv_se,CDv_mean,CDv_rms,CDv_peak,CDv_lag1_corr,CL_trend_micro,CL_se_micro,CD_trend_micro,CD_se_micro,CMz_trend_micro,CMz_se_micro,CDp_trend_micro,CDp_se_micro,CDv_trend_micro,CDv_se_micro
SA,GP2,1,398,2,399,-4.750212374728e-05,5.606512515423e-06,-4.926131206030e-05,1.477708003793e-04,4.482071000000e-04,9.188306695340e-01,-1.750360272756e-06,1.351968430992e-06,1.041599028643e-05,3.268015527718e-05,1.011497000000e-04,7.939226632354e-01,-1.612854904335e-05,2.632289238387e-06,-2.431464971106e-05,6.750220736833e-05,1.915719000000e-04,9.001779645906e-01,-1.341129798943e-06,1.351345121749e-06,1.085251792261e-05,3.278301442371e-05,1.024400000000e-04,7.937356772464e-01,-4.103317370636e-07,6.791474553830e-09,-4.381823675879e-07,6.620949132296e-07,1.376100000000e-06,9.993900904536e-01,-4.750212374728e+01,5.606512515423e+00,-1.750360272756e+00,1.351968430992e+00,-1.612854904335e+01,2.632289238387e+00,-1.341129798943e+00,1.351345121749e+00,-4.103317370636e-01,6.791474553830e-03
SA,GP2,2,398,2,399,-5.840010616424e-05,5.708190337263e-06,-5.588734296482e-05,1.570279359292e-04,4.038492000000e-04,9.243492063703e-01,-1.704170579988e-06,1.284210343585e-06,6.114585618090e-06,3.005504847026e-05,1.122889000000e-04,8.219714394927e-01,-1.671874200766e-05,2.756157193764e-06,-2.385046070101e-05,7.006197065373e-05,2.217760000000e-04,9.035914831708e-01,-1.263524730430e-06,1.284908717640e-06,6.604445904523e-06,3.014545027023e-05,1.124700000000e-04,8.221748235229e-01,-4.414028405993e-07,6.478142112092e-09,-4.910902067839e-07,7.213152240514e-07,1.484700000000e-06,9.994546182595e-01,-5.840010616424e+01,5.708190337263e+00,-1.704170579988e+00,1.284210343585e+00,-1.671874200766e+01,2.756157193764e+00,-1.263524730430e+00,1.284908717640e+00,-4.414028405993e-01,6.478142112092e-03
SA,NN2,1,398,2,399,-5.019108202135e-05,5.379419262247e-06,-5.452493015075e-05,1.463732868430e-04,4.608928000000e-04,9.151973745870e-01,-1.655047246117e-06,1.338857570615e-06,1.057456458291e-05,3.244150500442e-05,1.169679000000e-04,7.931217210641e-01,-1.687905026664e-05,2.626122738684e-06,-2.482775410050e-05,6.780496387469e-05,1.917731000000e-04,9.000411612041e-01,-1.245119442404e-06,1.338282910739e-06,1.100924743719e-05,3.254934477224e-05,1.182500000000e-04,7.929396255607e-01,-4.110371512687e-07,6.898658381686e-09,-4.364995209045e-07,6.621401524281e-07,1.387500000000e-06,9.993993455417e-01,-5.019108202135e+01,5.379419262247e+00,-1.655047246117e+00,1.338857570615e+00,-1.687905026664e+01,2.626122738684e+00,-1.245119442404e+00,1.338282910739e+00,-4.110371512687e-01,6.898658381686e-03
SA,NN2,2,398,2,399,-6.597630819102e-05,5.632877889952e-06,-6.475415351759e-05,1.628645531728e-04,4.174952000000e-04,9.290759077889e-01,-2.197001471944e-06,1.293231668010e-06,6.319333228643e-06,3.034047036970e-05,1.218685000000e-04,8.205201552760e-01,-1.848236243047e-05,2.766432535793e-06,-2.475933098995e-05,7.116510241110e-05,2.213455000000e-04,9.064503443453e-01,-1.746260377244e-06,1.293831769201e-06,6.816095291206e-06,3.042260119484e-05,1.220500000000e-04,8.206902036710e-01,-4.515207943441e-07,6.765554579290e-09,-4.981454158291e-07,7.356564977044e-07,1.528500000000e-06,9.994642540159e-01,-6.597630819102e+01,5.632877889952e+00,-2.197001471944e+00,1.293231668010e+00,-1.848236243047e+01,2.766432535793e+00,-1.746260377244e+00,1.293831769201e+00,-4.515207943441e-01,6.765554579290e-03
SST,GP2,1,398,2,399,-8.139799132021e-06,6.742209159628e-06,-3.828652763819e-06,1.544799422920e-04,4.712648000000e-04,9.427411722579e-01,1.030976776365e-07,1.385495613631e-06,1.307811948995e-05,3.427072454086e-05,1.073510000000e-04,8.217441005867e-01,-5.935566267351e-06,3.513059240225e-06,-1.067504331156e-05,8.131283964469e-05,2.238867000000e-04,9.322109950969e-01,3.883291802805e-07,1.385409686885e-06,1.341659933342e-05,3.440219554018e-05,1.074800000000e-04,8.217219593899e-01,-2.855107697167e-07,4.604997756185e-09,-3.389673630653e-07,4.833089810489e-07,1.085300000000e-06,9.989687658129e-01,-8.139799132021e+00,6.742209159628e+00,1.030976776365e-01,1.385495613631e+00,-5.935566267351e+00,3.513059240225e+00,3.883291802805e-01,1.385409686885e+00,-2.855107697167e-01,4.604997756185e-03
SST,GP2,2,398,2,399,-1.697084496173e-05,6.856590530371e-06,-1.003541507538e-05,1.582905659198e-04,4.774253000000e-04,9.436752271787e-01,6.186009358072e-07,1.368001813478e-06,9.042952032663e-06,3.256581007164e-05,1.136786000000e-04,8.406468707244e-01,-5.931191308049e-06,3.519010420587e-06,-1.059872912060e-05,8.143685684502e-05,2.350190000000e-04,9.273172957012e-01,9.411423834766e-07,1.368611298887e-06,9.414838969849e-06,3.269452786471e-05,1.138300000000e-04,8.407977980626e-01,-3.225610408892e-07,5.168521654649e-09,-3.719570393467e-07,5.381996574333e-07,1.237300000000e-06,9.993334152651e-01,-1.697084496173e+01,6.856590530371e+00,6.186009358072e-01,1.368001813478e+00,-5.931191308049e+00,3.519010420587e+00,9.411423834766e-01,1.368611298887e+00,-3.225610408892e-01,5.168521654649e-03
SST,NN2,1,398,2,399,-1.164333282004e-05,6.554541950049e-06,-9.734303266332e-06,1.507688338550e-04,4.153771000000e-04,9.433370258411e-01,1.651682697307e-07,1.380590883644e-06,1.322787438191e-05,3.422502248330e-05,1.124359000000e-04,8.225423557927e-01,-6.939735071667e-06,3.517134372615e-06,-1.133787879146e-05,8.159908750356e-05,2.229829000000e-04,9.341973026006e-01,4.506683082845e-07,1.380555243211e-06,1.356694707035e-05,3.436012519901e-05,1.134400000000e-04,8.225249277276e-01,-2.857798913375e-07,4.592116544136e-09,-3.396607753769e-07,4.839412794074e-07,1.093500000000e-06,9.989558756938e-01,-1.164333282004e+01,6.554541950049e+00,1.651682697307e-01,1.380590883644e+00,-6.939735071667e+00,3.517134372615e+00,4.506683082845e-01,1.380555243211e+00,-2.857798913375e-01,4.592116544136e-03
SST,NN2,2,398,2,399,-2.568365514339e-05,6.645263192032e-06,-2.057179472362e-05,1.561328165418e-04,4.576223000000e-04,9.467814185139e-01,1.804818704991e-07,1.360919254080e-06,9.219356733668e-06,3.245286150993e-05,1.207374000000e-04,8.406827182432e-01,-7.965105328540e-06,3.421427488051e-06,-1.190810243216e-05,7.965370131550e-05,2.321435000000e-04,9.300775443106e-01,5.087011288617e-07,1.361493417790e-06,9.594885334171e-06,3.257866149175e-05,1.208900000000e-04,8.408180268161e-01,-3.282673673699e-07,5.369053566085e-09,-3.756541066080e-07,5.462872795887e-07,1.263400000000e-06,9.993407937018e-01,-2.568365514339e+01,6.645263192032e+00,1.804818704991e-01,1.360919254080e+00,-7.965105328540e+00,3.421427488051e+00,5.087011288617e-01,1.361493417790e+00,-3.282673673699e-01,5.369053566085e-03
