lag,d005,d010_SF2,d010,d020_long,d020
22,8.088980000000e-05,1.091746000000e-04,4.830100000000e-05,-1.322860000000e-05,-2.733440000000e-05
23,8.109750000000e-05,1.096011000000e-04,4.868030000000e-05,-1.305620000000e-05,-2.736210000000e-05
24,8.108600000000e-05,1.100218000000e-04,4.907660000000e-05,-1.289510000000e-05,-2.740080000000e-05
25,8.082620000000e-05,1.103453000000e-04,4.946570000000e-05,-1.274050000000e-05,-2.743340000000e-05
26,8.032060000000e-05,1.105104000000e-04,4.984970000000e-05,-1.256990000000e-05,-2.747560000000e-05
27,7.952550000000e-05,1.105157000000e-04,5.021080000000e-05,-1.238260000000e-05,-2.755000000000e-05
28,7.851410000000e-05,1.107569000000e-04,5.049670000000e-05,-1.218260000000e-05,-2.764050000000e-05
29,7.733110000000e-05,1.106984000000e-04,5.065290000000e-05,-1.196510000000e-05,-2.770110000000e-05
30,7.614720000000e-05,1.106496000000e-04,5.073560000000e-05,-1.174450000000e-05,-2.770760000000e-05
31,7.513010000000e-05,1.102995000000e-04,5.066060000000e-05,-1.154890000000e-05,-2.766180000000e-05
32,7.436220000000e-05,1.098508000000e-04,5.058120000000e-05,-1.138660000000e-05,-2.757850000000e-05
33,7.396020000000e-05,1.093339000000e-04,5.051770000000e-05,-1.125570000000e-05,-2.747070000000e-05
34,7.381710000000e-05,1.088843000000e-04,5.044530000000e-05,-1.118830000000e-05,-2.702640000000e-05
35,7.394910000000e-05,1.086137000000e-04,5.056210000000e-05,-1.122450000000e-05,-2.638930000000e-05
36,7.429840000000e-05,1.085496000000e-04,5.123110000000e-05,-1.140520000000e-05,-2.579290000000e-05
37,7.509270000000e-05,1.087660000000e-04,5.172640000000e-05,-1.172860000000e-05,-2.563660000000e-05
38,7.596130000000e-05,1.091104000000e-04,5.184040000000e-05,-1.210640000000e-05,-2.573490000000e-05
39,7.650180000000e-05,1.096879000000e-04,5.188010000000e-05,-1.253330000000e-05,-2.605100000000e-05
40,7.694320000000e-05,1.103621000000e-04,5.179750000000e-05,-1.300090000000e-05,-2.664370000000e-05
41,7.734180000000e-05,1.112561000000e-04,5.167200000000e-05,-1.345710000000e-05,-2.752490000000e-05
42,7.754780000000e-05,1.123806000000e-04,5.164470000000e-05,-1.410190000000e-05,-2.853290000000e-05
43,7.764690000000e-05,1.131824000000e-04,5.171750000000e-05,-1.479270000000e-05,-2.952770000000e-05
44,7.765230000000e-05,1.136929000000e-04,5.195320000000e-05,-1.528620000000e-05,-3.050060000000e-05
45,7.762290000000e-05,1.139341000000e-04,5.233230000000e-05,-1.552160000000e-05,-3.140160000000e-05
46,7.763360000000e-05,1.140369000000e-04,5.276680000000e-05,-1.555300000000e-05,-3.217350000000e-05
47,7.772710000000e-05,1.140820000000e-04,5.319690000000e-05,-1.535980000000e-05,-3.275650000000e-05
48,7.791520000000e-05,1.140114000000e-04,5.358930000000e-05,-1.499860000000e-05,-3.315100000000e-05
49,7.815700000000e-05,1.140148000000e-04,5.393540000000e-05,-1.450170000000e-05,-3.339100000000e-05
50,7.843360000000e-05,1.140528000000e-04,5.423880000000e-05,-1.398260000000e-05,-3.353770000000e-05
51,7.872700000000e-05,1.141480000000e-04,5.450630000000e-05,-1.352260000000e-05,-3.365100000000e-05
52,7.899680000000e-05,1.143073000000e-04,5.474350000000e-05,-1.320050000000e-05,-3.375780000000e-05
53,7.925120000000e-05,1.145126000000e-04,5.495140000000e-05,-1.302190000000e-05,-3.384900000000e-05
54,7.951690000000e-05,1.147374000000e-04,5.513930000000e-05,-1.295850000000e-05,-3.394270000000e-05
55,7.976420000000e-05,1.149598000000e-04,5.528000000000e-05,-1.299440000000e-05,-3.405670000000e-05
56,7.999410000000e-05,1.151666000000e-04,5.538860000000e-05,-1.308690000000e-05,-3.419650000000e-05
57,8.018560000000e-05,1.153661000000e-04,5.546260000000e-05,-1.326160000000e-05,-3.434260000000e-05
58,8.035540000000e-05,1.155149000000e-04,5.549250000000e-05,-1.346420000000e-05,-3.450260000000e-05
59,8.051230000000e-05,1.156200000000e-04,5.548270000000e-05,-1.366260000000e-05,-3.467130000000e-05
60,8.065830000000e-05,1.157202000000e-04,5.545100000000e-05,-1.386240000000e-05,-3.482800000000e-05
61,8.079280000000e-05,1.158259000000e-04,5.542840000000e-05,-1.403800000000e-05,-3.495410000000e-05
62,8.090830000000e-05,1.159192000000e-04,5.542580000000e-05,-1.420230000000e-05,-3.506360000000e-05
63,8.102160000000e-05,1.160240000000e-04,5.546570000000e-05,-1.433900000000e-05,-3.516470000000e-05
64,8.115080000000e-05,1.161665000000e-04,5.555260000000e-05,-1.444680000000e-05,-3.525320000000e-05
65,8.129050000000e-05,1.163318000000e-04,5.567100000000e-05,-1.451840000000e-05,-3.533880000000e-05
66,8.145270000000e-05,1.165289000000e-04,5.582640000000e-05,-1.456500000000e-05,-3.543320000000e-05
67,8.164150000000e-05,1.167586000000e-04,5.602150000000e-05,-1.458940000000e-05,-3.553690000000e-05
68,8.184780000000e-05,1.169990000000e-04,5.624510000000e-05,-1.459870000000e-05,-3.565840000000e-05
69,8.205220000000e-05,1.172065000000e-04,5.647640000000e-05,-1.460390000000e-05,-3.579970000000e-05
70,8.223440000000e-05,1.173931000000e-04,5.668000000000e-05,-1.460890000000e-05,-3.596220000000e-05
71,8.238270000000e-05,1.175691000000e-04,5.687070000000e-05,-1.461500000000e-05,-3.614050000000e-05
