N,h_Struct,Struct_NN1,Struct_NN2,Struct_NN3,Struct_BAR2,Struct_BAR3,Struct_GP2,Struct_GP3,h_Mixed,Mixed_NN1,Mixed_NN2,Mixed_NN3,Mixed_BAR2,Mixed_BAR3,Mixed_GP2,Mixed_GP3
64,0.015625,9.211586824378575e-05,2.474469707078972e-05,1.641864698055448e-05,3.54820398643399e-05,1.711339231208025e-05,4.234710733229049e-09,1.756037171130435e-05,0.0128321184387413,1.695269609900778e-06,1.263047198482747e-05,1.362567058464599e-05,1.793420587825272e-05,1.40067284357495e-05,1.398651104904575e-05,1.405712687189325e-05
128,0.0078125,4.612088704153334e-05,6.433567144253962e-06,3.83343177592946e-06,8.800828711092603e-06,3.881475623905233e-06,1.357520633210978e-10,3.912235324265678e-06,0.0064007947720214,3.04561574186348e-05,4.260901953824903e-06,4.277892769203593e-06,1.790606942877105e-06,4.183500572659248e-06,2.871764267671548e-06,4.214176477758106e-06
256,0.00390625,2.304462736862796e-05,1.635219466350491e-06,9.267141786416756e-07,2.191681992932399e-06,9.305661316639916e-07,4.258269737258224e-12,9.329349435980852e-07,0.0032206327947704,1.411775266561469e-05,1.061244981030244e-06,7.52894120864757e-07,3.599889542037932e-08,7.399655506849144e-07,2.522285807245639e-07,7.393735640871594e-07
