scheme,nominal,Struct_fit,Struct_fine,Mixed_fit,Mixed_fine
NN1,0.5,0.5102488857241465,0.3290258366637993,0.4305422288428814,0.4375221903944521
NN2,0.5,0.5096880050788076,0.4072379041404714,0.4407136242599706,0.4300462039251521
NN3,0.5,0.5166942026063603,0.3790515541713179,0.4307145492903389,0.4366177580840909
BAR2,0.5,0.5133691020525264,0.4907974768123389,0.4478466900076392,0.452303349230547
BAR3,0.5,0.5113789496696052,0.491137792148213,0.4489828902758038,0.4541947951483662
GP2,0.5,0.5151679384862472,0.4795317589939042,0.4482486105894181,0.4512376122768689
GP3,0.5,0.514753208398289,0.4817377140287131,0.4497946755275606,0.452673712710801
