mesh,nodes,triangles,rms_rho,iterations,CL,CD,CMz
A,16255,32077,-12.85,4402,0.69908195,0.00997182,0.00965569
B,22508,44583,-13.00,3483,0.70902504,0.00305620,0.00722540
