method,lambda,delta_full_norm_M,state_superposition_defect_M,state_remainder_abs_M,state_superposition_defect_euclid,state_remainder_abs_euclid,state_latest_full_M,state_older_full_M,dCL_full,CL_superposition_defect,CL_remainder_abs,CL_latest_full,CL_older_full
BAR2,1.0,7.0259e-04,3.360e-02,2.361e-05,7.781e-03,1.758e-03,1.3332,0.3340,-7.2852e-03,3.050e-03,2.222e-05,1.3328,-0.3358
BAR2,0.5,3.5169e-04,5.598e-02,1.969e-05,4.824e-03,5.448e-04,1.3324,0.3350,-3.6544e-03,1.298e-03,4.742e-06,1.3328,-0.3341
BAR2,0.25,1.7629e-04,8.741e-02,1.541e-05,2.825e-03,1.595e-04,1.3312,0.3374,-1.8284e-03,9.643e-04,1.763e-06,1.3329,-0.3339
GP2,1.0,7.1225e-04,3.392e-02,2.416e-05,8.306e-03,1.875e-03,1.3330,0.3340,-7.5751e-03,2.982e-03,2.259e-05,1.3322,-0.3352
GP2,0.5,3.5646e-04,5.686e-02,2.027e-05,5.061e-03,5.712e-04,1.3325,0.3353,-3.7949e-03,9.603e-04,3.644e-06,1.3330,-0.3340
GP2,0.25,1.7880e-04,9.219e-02,1.648e-05,2.908e-03,1.641e-04,1.3310,0.3377,-1.8985e-03,8.076e-04,1.533e-06,1.3329,-0.3337
