grid,dim,solution,interp_order,method,resolution,n_points,h,field,geom_defect,supermesh_defect
Mixed,2,Asym,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Momentum_y,0.00021166214063723585,nan
Mixed,2,Asym,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Energy,9.57847101569676e-06,nan
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Density,7.399655506849144e-07,nan
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_x,3.092924827678052e-05,nan
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_y,3.092924827678052e-05,nan
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Energy,1.5146447720837816e-06,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Density,1.4057126871893252e-05,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_x,0.0002670717113985535,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_y,0.0002670717113985535,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Energy,2.0207113069201498e-05,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Density,4.214176477758106e-06,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_x,0.00021343284817440682,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_y,0.00021343284817440682,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Energy,9.654481020916832e-06,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Density,7.393735640871594e-07,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_x,3.0891027811573654e-05,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_y,3.0891027811573654e-05,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Energy,1.5130395746712774e-06,nan
Mixed,2,Asym,ThirdOrder,NN,64,6073,0.012832118438741323,Density,1.3625670584645986e-05,nan
Mixed,2,Asym,ThirdOrder,NN,64,6073,0.012832118438741323,Momentum_x,0.0002725388547126074,nan
Mixed,2,Asym,ThirdOrder,NN,64,6073,0.012832118438741323,Momentum_y,0.0002725388547126074,nan
Mixed,2,Asym,ThirdOrder,NN,64,6073,0.012832118438741323,Energy,1.9947140124253533e-05,nan
Mixed,2,Asym,ThirdOrder,NN,128,24408,0.006400794772021405,Density,4.277892769203593e-06,nan
Mixed,2,Asym,ThirdOrder,NN,128,24408,0.006400794772021405,Momentum_x,0.00021163466981076172,nan
