method,steps_compared,dCL_step2,dCD_step2,dCMz_step2,max_abs_dCL_window,max_abs_dCD_window,state_diff_step2_over_eps,state_diff_step2_over_eps_volume_weighted,residual_diff_over_single_history_forcing,eps_norm
GP2,51,7.666e-09,-5.384e-09,5.269e-09,6.336e-04,5.444e-04,2.430e-04,8.979e-02,7.500e-01,2.3080e-01
NN1,51,2.112e-09,-4.104e-09,1.251e-09,3.130e-03,1.186e-03,2.100e-04,4.344e-02,7.501e-01,2.6715e-01
