method,full,latest,older
NN1,5.787e-03,7.714e-03,-1.840e-03
NN2,-6.884e-03,-9.168e-03,2.313e-03
BAR2,-7.285e-03,-9.709e-03,2.446e-03
GP2,-7.575e-03,-1.009e-02,2.539e-03
GP3,-7.107e-03,-9.471e-03,2.387e-03
