method,correction,pair,trial_state,export,vtk_dtype,field,norm_r_I,norm_p_I,norm_r_minus_p_I,e_id_I,cos_I,norm_r_Minv,norm_p_Minv,norm_r_minus_p_Minv,e_id_Minv,cos_Minv,max_abs_r_minus_p,max_abs_p,max_rel_componentwise
NN3G,Global,older-native,U_B*,single (binary VTU),float,Momentum_y,2.1432825338e-01,2.1432825255e-01,5.7716793990e-09,2.692916e-08,1.000000000000,9.2792381503e-02,9.2792380896e-02,2.4639269195e-07,2.655312e-06,0.999999999996,1.836342e-09,5.040055e-02,3.643496e-08
NN3G,Global,older-native,U_B*,single (binary VTU),float,Energy,1.6035766853e-01,1.6035766896e-01,3.9650054678e-09,2.472601e-08,1.000000000000,6.2183423061e-02,6.2183423135e-02,1.6285945594e-09,2.619017e-08,1.000000000000,9.086099e-10,3.285275e-02,2.765704e-08
NN3G,Global,older-native,U_B*,single (binary VTU),float,all,4.6371580761e-01,4.6371580636e-01,1.1781459865e-08,2.540664e-08,1.000000000000,3.5754680142e-01,3.5754680117e-01,2.4813114011e-07,6.939823e-07,1.000000000000,3.024294e-09,9.393733e-02,3.219481e-08
NN3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Density,5.5057496157e-02,5.5057495985e-02,1.3238111948e-09,2.404416e-08,1.000000000000,2.0585206546e-02,2.0585206498e-02,8.5188180889e-10,4.138320e-08,1.000000000000,3.741779e-10,1.379583e-02,2.712254e-08
NN3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Momentum_x,3.7463293860e-01,3.7463293952e-01,8.7881827791e-09,2.345812e-08,1.000000000000,3.3902619378e-01,3.3902619402e-01,2.9237118590e-08,8.623852e-08,1.000000000000,1.819827e-09,9.393733e-02,1.937278e-08
NN3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Momentum_y,2.1432825272e-01,2.1432825255e-01,5.4679175688e-09,2.551188e-08,1.000000000000,9.2792381282e-02,9.2792380896e-02,2.4639581132e-07,2.655345e-06,0.999999999996,1.669488e-09,5.040055e-02,3.312439e-08
NN3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Energy,1.6035766967e-01,1.6035766896e-01,4.3182695425e-09,2.692899e-08,1.000000000000,6.2183423163e-02,6.2183423135e-02,2.5170094670e-09,4.047718e-08,1.000000000000,1.533109e-09,3.285275e-02,4.666607e-08
NN3G,Global,latest-full,Uhat_B*,single (binary VTU),float,all,4.6371580596e-01,4.6371580636e-01,1.1292927301e-08,2.435312e-08,1.000000000000,3.5754680104e-01,3.5754680117e-01,2.4813860235e-07,6.940031e-07,1.000000000000,1.819827e-09,9.393733e-02,1.937278e-08
BAR2G,Global,older-native,U_B*,single (binary VTU),float,Density,4.9075208095e-02,4.9075208125e-02,1.2151681907e-09,2.476135e-08,1.000000000000,1.8961603632e-02,1.8961603638e-02,5.0425671919e-10,2.659357e-08,1.000000000000,3.603913e-10,1.313550e-02,2.743643e-08
BAR2G,Global,older-native,U_B*,single (binary VTU),float,Momentum_x,3.6407697303e-01,3.6407697126e-01,1.0257088322e-08,2.817286e-08,1.000000000000,3.3363103044e-01,3.3363102970e-01,2.4272356345e-08,7.275209e-08,1.000000000000,3.604659e-09,8.583705e-02,4.199420e-08
BAR2G,Global,older-native,U_B*,single (binary VTU),float,Momentum_y,2.2379327301e-01,2.2379327344e-01,4.9540193195e-09,2.213659e-08,1.000000000000,9.3494539805e-02,9.3494540394e-02,1.1493882861e-07,1.229364e-06,0.999999999999,1.445811e-09,4.831549e-02,2.992438e-08
BAR2G,Global,older-native,U_B*,single (binary VTU),float,Energy,1.3836039931e-01,1.3836039932e-01,3.6202921452e-09,2.616567e-08,1.000000000000,5.7256905606e-02,5.7256905581e-02,1.4910386249e-09,2.604120e-08,1.000000000000,8.963612e-10,3.119579e-02,2.873340e-08
BAR2G,Global,older-native,U_B*,single (binary VTU),float,all,4.5187105183e-01,4.5187105062e-01,1.2013880189e-08,2.658697e-08,1.000000000000,3.5169416984e-01,3.5169416929e-01,1.1748429289e-07,3.340524e-07,1.000000000000,3.604659e-09,8.583705e-02,4.199420e-08
BAR2G,Global,latest-full,Uhat_B*,single (binary VTU),float,Density,4.9075208096e-02,4.9075208125e-02,1.2912671247e-09,2.631201e-08,1.000000000000,1.8961603656e-02,1.8961603638e-02,7.4498021244e-10,3.928888e-08,1.000000000000,4.531246e-10,1.313550e-02,3.449617e-08
BAR2G,Global,latest-full,Uhat_B*,single (binary VTU),float,Momentum_x,3.6407697242e-01,3.6407697126e-01,1.0072962088e-08,2.766712e-08,1.000000000000,3.3363102990e-01,3.3363102970e-01,2.4296329767e-08,7.282395e-08,1.000000000000,3.620153e-09,8.583705e-02,4.217471e-08
BAR2G,Global,latest-full,Uhat_B*,single (binary VTU),float,Momentum_y,2.2379327521e-01,2.2379327344e-01,5.4215134786e-09,2.422554e-08,1.000000000000,9.3494539836e-02,9.3494540394e-02,1.1491980057e-07,1.229161e-06,0.999999999999,1.626231e-09,4.831549e-02,3.365859e-08
BAR2G,Global,latest-full,Uhat_B*,single (binary VTU),float,Energy,1.3836039973e-01,1.3836039932e-01,3.4444628286e-09,2.489486e-08,1.000000000000,5.7256905688e-02,5.7256905581e-02,2.5028354213e-09,4.371238e-08,1.000000000000,8.659086e-10,3.119579e-02,2.775722e-08
BAR2G,Global,latest-full,Uhat_B*,single (binary VTU),float,all,4.5187105256e-01,4.5187105062e-01,1.2016200256e-08,2.659210e-08,1.000000000000,3.5169416935e-01,3.5169416929e-01,1.1748911177e-07,3.340661e-07,1.000000000000,3.620153e-09,8.583705e-02,4.217471e-08
BAR3G,Global,older-native,U_B*,single (binary VTU),float,Density,5.0092242457e-02,5.0092242319e-02,1.3165507683e-09,2.628253e-08,1.000000000000,1.9378893193e-02,1.9378893167e-02,4.9480354862e-10,2.553312e-08,1.000000000000,4.106892e-10,1.329514e-02,3.089018e-08
BAR3G,Global,older-native,U_B*,single (binary VTU),float,Momentum_x,3.6899195627e-01,3.6899195412e-01,1.0013553636e-08,2.713759e-08,1.000000000000,3.3795182828e-01,3.3795182835e-01,2.8912816483e-08,8.555307e-08,1.000000000000,3.066336e-09,8.454862e-02,3.626714e-08
BAR3G,Global,older-native,U_B*,single (binary VTU),float,Momentum_y,2.0806681315e-01,2.0806681411e-01,5.0541297911e-09,2.429090e-08,1.000000000000,9.1870311919e-02,9.1870311052e-02,2.3906413563e-07,2.602191e-06,0.999999999997,1.605477e-09,4.802093e-02,3.343285e-08
BAR3G,Global,older-native,U_B*,single (binary VTU),float,Energy,1.4243809829e-01,1.4243809870e-01,3.5322689269e-09,2.479862e-08,1.000000000000,5.8288292268e-02,5.8288292314e-02,1.5231658364e-09,2.613159e-08,1.000000000000,9.754286e-10,3.141840e-02,3.104641e-08
BAR3G,Global,older-native,U_B*,single (binary VTU),float,all,4.4971625180e-01,4.4971625058e-01,1.1833246134e-08,2.631269e-08,1.000000000000,3.5556245439e-01,3.5556245423e-01,2.4081149633e-07,6.772692e-07,1.000000000000,3.066336e-09,8.454862e-02,3.626714e-08
BAR3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Density,5.0092242270e-02,5.0092242319e-02,1.1060245421e-09,2.207976e-08,1.000000000000,1.9378893152e-02,1.9378893167e-02,6.6554906039e-10,3.434402e-08,1.000000000000,3.565153e-10,1.329514e-02,2.681547e-08
BAR3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Momentum_x,3.6899195414e-01,3.6899195412e-01,9.0549943342e-09,2.453982e-08,1.000000000000,3.3795182800e-01,3.3795182835e-01,2.8792127202e-08,8.519595e-08,1.000000000000,2.007589e-09,8.454862e-02,2.374479e-08
BAR3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Momentum_y,2.0806681521e-01,2.0806681411e-01,5.6320508126e-09,2.706847e-08,1.000000000000,9.1870311803e-02,9.1870311052e-02,2.3906526814e-07,2.602204e-06,0.999999999997,1.845069e-09,4.802093e-02,3.842219e-08
BAR3G,Global,latest-full,Uhat_B*,single (binary VTU),float,Energy,1.4243809901e-01,1.4243809870e-01,3.3296865385e-09,2.337638e-08,1.000000000000,5.8288292327e-02,5.8288292314e-02,2.0231119509e-09,3.470872e-08,1.000000000000,7.271645e-10,3.141840e-02,2.314454e-08
BAR3G,Global,latest-full,Uhat_B*,single (binary VTU),float,all,4.4971625120e-01,4.4971625058e-01,1.1225997572e-08,2.496240e-08,1.000000000000,3.5556245410e-01,3.5556245423e-01,2.4080225281e-07,6.772432e-07,1.000000000000,2.007589e-09,8.454862e-02,2.374479e-08
