N,h_Struct,Struct_NN1,Struct_NN2,Struct_NN3,Struct_Bary2,Struct_Bary3,Struct_Gal2,Struct_Gal3,h_Mixed,Mixed_NN1,Mixed_NN2,Mixed_NN3,Mixed_Bary2,Mixed_Bary3,Mixed_Gal2,Mixed_Gal3
64,0.015625,0.008856973632416155,0.000210317977052893,4.445223354230042e-06,9.533585397596878e-05,7.334985706485007e-06,5.851990821896033e-15,5.1012598185432136e-06,0.012832118438741323,0.0014676980816484752,0.0009229506841275962,0.0008538831242866364,0.0003565431962188001,0.0005817155145709902,6.452842562075041e-05,0.0008082087108798462
128,0.0078125,0.004458284119448926,5.258752236227629e-05,5.517357834095765e-07,2.1837101951670465e-05,8.80077780825582e-07,1.4569049303309222e-15,4.831337311794976e-07,0.006400794772021405,0.00028894614959367663,7.395328240253726e-05,0.00015788432416891153,0.00032326622442075786,0.0002916242554324108,0.00031046634561102923,0.0003424788967305856
256,0.00390625,0.0022077310571063844,1.2978148468994704e-05,6.783724271465725e-08,5.357478647215323e-06,1.0915549414121437e-07,7.120734416499728e-14,5.203334844706746e-08,0.0032206327947704866,0.0001487715006545716,9.599971915320141e-05,0.0001594289867569781,0.00013322027572422652,0.00012486732515770154,0.00011869744230419372,0.00012902060750744933
