mesh,nodes,CL,CD,CMz,CL_range_window,CD_range_window,CMz_range_window
A,16255,6.9908018750e-01,9.9522113300e-03,9.6574194960e-03,2.1066e-04,1.6904e-04,2.7940e-05
B,22508,7.0900224240e-01,3.0572187540e-03,7.2228417010e-03,1.8713e-04,1.4348e-04,5.7556e-05
